no,target,t,activity,appCat.builtin,appCat.communication,appCat.entertainment,appCat.finance,appCat.game,appCat.office,appCat.other,appCat.social,appCat.travel,appCat.unknown,appCat.utilities,appCat.weather,call,circumplex.arousal,circumplex.valence,mood,screen,sms
1,7,0,3.0831523917559385,3139.2180000000008,6280.890000000003,1007.456,49.544000000000004,,172.20600000000002,239.75100000000003,4508.500000000001,915.4450000000002,,598.7539999999999,,6.0,0.2,0.2,6.2,17978.90700006484,
1,7,1,3.79008350783933,731.4290000000001,4962.9180000000015,93.324,21.076,,,98.14300000000001,439.6319999999999,37.305,,117.62100000000001,,3.0,0.6,0.5,6.4,6142.160999536514,1.0
1,7,2,2.141116737075955,1286.246,5237.318999999999,94.346,43.403000000000006,,,72.82300000000001,900.8389999999999,,,30.086,30.386,,0.2,0.8,6.8,6773.832001447676,
1,7,3,1.8950653467743512,866.9559999999996,9270.628999999999,976.971,34.106,,3.01,66.55799999999999,3223.6259999999993,419.805,,178.732,,10.0,0.8,0.0,6.0,15047.351000547404,
2,7,0,3.79008350783933,731.4290000000001,4962.9180000000015,93.324,21.076,,,98.14300000000001,439.6319999999999,37.305,,117.62100000000001,,3.0,0.6,0.5,6.4,6142.160999536514,1.0
2,7,1,2.141116737075955,1286.246,5237.318999999999,94.346,43.403000000000006,,,72.82300000000001,900.8389999999999,,,30.086,30.386,,0.2,0.8,6.8,6773.832001447676,
2,7,2,1.8950653467743512,866.9559999999996,9270.628999999999,976.971,34.106,,3.01,66.55799999999999,3223.6259999999993,419.805,,178.732,,10.0,0.8,0.0,6.0,15047.351000547404,
2,7,3,2.360978697372162,1032.7680000000003,10276.750999999998,68.206,43.053999999999995,,,178.819,1919.4709999999998,,235.223,222.89299999999997,,,0.5,0.5,6.75,21475.354999065392,1.0
3,7,0,2.141116737075955,1286.246,5237.318999999999,94.346,43.403000000000006,,,72.82300000000001,900.8389999999999,,,30.086,30.386,,0.2,0.8,6.8,6773.832001447676,
3,7,1,1.8950653467743512,866.9559999999996,9270.628999999999,976.971,34.106,,3.01,66.55799999999999,3223.6259999999993,419.805,,178.732,,10.0,0.8,0.0,6.0,15047.351000547404,
