no,target,t,activity,call,circumplex.arousal,circumplex.valence,frequency,mood,screen,sms,util_apps,com_other_apps,entertain_apps
1,7,0,0.1340501039893886,6.0,0.2,0.2,117.0,6.2,17978.90700006484,0.0,9383.667000000001,6520.641000000003,1007.456
1,7,1,0.2368802192399581,3.0,0.6,0.6,129.0,6.4,6142.160999536514,1.0,1347.063,5061.0610000000015,93.324
1,7,2,0.1427411158050636,0.0,0.2,0.8,101.0,6.8,6773.832001447676,0.0,2290.96,5310.141999999999,94.346
1,7,3,0.0789610561155979,10.0,0.8,0.0,196.0,6.0,15047.351000547404,0.0,4726.235,9337.187000000002,976.971
2,7,0,0.2368802192399581,3.0,0.6,0.6,129.0,6.4,6142.160999536514,1.0,1347.063,5061.0610000000015,93.324
2,7,1,0.1427411158050636,0.0,0.2,0.8,101.0,6.8,6773.832001447676,0.0,2290.96,5310.141999999999,94.346
2,7,2,0.0789610561155979,10.0,0.8,0.0,196.0,6.0,15047.351000547404,0.0,4726.235,9337.187000000002,976.971
2,7,3,0.0983741123905067,0.0,0.5,0.5,127.0,6.75,21475.354999065392,1.0,3453.4090000000006,10455.569999999998,68.206
3,7,0,0.1427411158050636,0.0,0.2,0.8,101.0,6.8,6773.832001447676,0.0,2290.96,5310.141999999999,94.346
3,7,1,0.0789610561155979,10.0,0.8,0.0,196.0,6.0,15047.351000547404,0.0,4726.235,9337.187000000002,976.971
3,7,2,0.0983741123905067,0.0,0.5,0.5,127.0,6.75,21475.354999065392,1.0,3453.4090000000006,10455.569999999998,68.206
3,7,3,0.1013083216700759,0.0,-0.2,0.6,174.0,6.6,16423.801000356674,0.0,5845.251999999999,9086.251,910.479
4,6,0,0.0789610561155979,10.0,0.8,0.0,196.0,6.0,15047.351000547404,0.0,4726.235,9337.187000000002,976.971
4,6,1,0.0983741123905067,0.0,0.5,0.5,127.0,6.75,21475.354999065392,1.0,3453.4090000000006,10455.569999999998,68.206
4,6,2,0.1013083216700759,0.0,-0.2,0.6,174.0,6.6,16423.801000356674,0.0,5845.251999999999,9086.251,910.479
4,6,3,0.1595106409690975,2.0,0.2,0.8,135.0,7.0,17442.14999938011,1.0,2615.721,6995.044000000001,639.3389999999999
5,8,0,0.0983741123905067,0.0,0.5,0.5,127.0,6.75,21475.354999065392,1.0,3453.4090000000006,10455.569999999998,68.206
5,8,1,0.1013083216700759,0.0,-0.2,0.6,174.0,6.6,16423.801000356674,0.0,5845.251999999999,9086.251,910.479
5,8,2,0.1595106409690975,2.0,0.2,0.8,135.0,7.0,17442.14999938011,1.0,2615.721,6995.044000000001,639.3389999999999
5,8,3,0.0956980216371201,5.0,-0.6,0.6,88.0,6.4,4923.48899960518,0.0,12099.228000000005,1092.7839999999999,1238.439
6,8,0,0.1013083216700759,0.0,-0.2,0.6,174.0,6.6,16423.801000356674,0.0,5845.251999999999,9086.251,910.479
