no,target,t,activity,appCat.builtin,appCat.communication,appCat.entertainment,appCat.finance,appCat.game,appCat.office,appCat.other,appCat.social,appCat.travel,appCat.unknown,appCat.utilities,appCat.weather,call,circumplex.arousal,circumplex.valence,frequency,mood,screen,sms
1,7,0,0.13405010398938863,3139.2180000000008,6280.890000000003,1007.456,49.544000000000004,0.0,172.20600000000002,239.75100000000003,4508.500000000001,915.4450000000002,0.0,598.7539999999999,0.0,6.0,0.2,0.2,117.0,6.2,17978.90700006484,0.0
1,7,1,0.2368802192399581,731.4290000000001,4962.9180000000015,93.324,21.076,0.0,0.0,98.14300000000001,439.6319999999999,37.305,0.0,117.62100000000001,0.0,3.0,0.6,0.6,129.0,6.4,6142.160999536514,1.0
1,7,2,0.14274111580506368,1286.246,5237.318999999999,94.346,43.403000000000006,0.0,0.0,72.82300000000001,900.8389999999999,0.0,0.0,30.086,30.386,0.0,0.2,0.8,101.0,6.8,6773.832001447676,0.0
1,7,3,0.07896105611559796,866.9559999999996,9270.628999999999,976.971,34.106,0.0,3.01,66.55799999999999,3223.6259999999993,419.805,0.0,178.732,0.0,10.0,0.8,0.0,196.0,6.0,15047.351000547404,0.0
2,7,0,0.2368802192399581,731.4290000000001,4962.9180000000015,93.324,21.076,0.0,0.0,98.14300000000001,439.6319999999999,37.305,0.0,117.62100000000001,0.0,3.0,0.6,0.6,129.0,6.4,6142.160999536514,1.0
2,7,1,0.14274111580506368,1286.246,5237.318999999999,94.346,43.403000000000006,0.0,0.0,72.82300000000001,900.8389999999999,0.0,0.0,30.086,30.386,0.0,0.2,0.8,101.0,6.8,6773.832001447676,0.0
2,7,2,0.07896105611559796,866.9559999999996,9270.628999999999,976.971,34.106,0.0,3.01,66.55799999999999,3223.6259999999993,419.805,0.0,178.732,0.0,10.0,0.8,0.0,196.0,6.0,15047.351000547404,0.0
2,7,3,0.09837411239050675,1032.7680000000003,10276.750999999998,68.206,43.053999999999995,0.0,0.0,178.819,1919.4709999999998,0.0,235.223,222.89299999999997,0.0,0.0,0.5,0.5,127.0,6.75,21475.354999065392,1.0
3,7,0,0.14274111580506368,1286.246,5237.318999999999,94.346,43.403000000000006,0.0,0.0,72.82300000000001,900.8389999999999,0.0,0.0,30.086,30.386,0.0,0.2,0.8,101.0,6.8,6773.832001447676,0.0
3,7,1,0.07896105611559796,866.9559999999996,9270.628999999999,976.971,34.106,0.0,3.01,66.55799999999999,3223.6259999999993,419.805,0.0,178.732,0.0,10.0,0.8,0.0,196.0,6.0,15047.351000547404,0.0
3,7,2,0.09837411239050675,1032.7680000000003,10276.750999999998,68.206,43.053999999999995,0.0,0.0,178.819,1919.4709999999998,0.0,235.223,222.89299999999997,0.0,0.0,0.5,0.5,127.0,6.75,21475.354999065392,1.0
3,7,3,0.10130832167007593,1167.4969999999996,8988.753,910.479,52.331,0.0,0.0,97.49799999999999,4592.058999999999,0.0,0.0,33.365,0.0,0.0,-0.2,0.6,174.0,6.6,16423.801000356674,0.0
4,6,0,0.07896105611559796,866.9559999999996,9270.628999999999,976.971,34.106,0.0,3.01,66.55799999999999,3223.6259999999993,419.805,0.0,178.732,0.0,10.0,0.8,0.0,196.0,6.0,15047.351000547404,0.0
4,6,1,0.09837411239050675,1032.7680000000003,10276.750999999998,68.206,43.053999999999995,0.0,0.0,178.819,1919.4709999999998,0.0,235.223,222.89299999999997,0.0,0.0,0.5,0.5,127.0,6.75,21475.354999065392,1.0
